Facility ID,State,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
291303,NV,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
291304,NV,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
291306,NV,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Below the national average,Above the national average,Not Available,Above the national average,Same as the national average
291307,NV,Critical Access Hospitals,Proprietary,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
291308,NV,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
291309,NV,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Not Available
291311,NV,Critical Access Hospitals,Proprietary,Yes,3,Same as the national average,Not Available,Same as the national average,Below the national average,Not Available,Above the national average,Below the national average
291312,NV,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
291313,NV,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
291314,NV,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
294000,NV,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
294002,NV,Psychiatric,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
294003,NV,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
294009,NV,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
294010,NV,Psychiatric,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
294011,NV,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
294012,NV,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
294013,NV,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
300001,NH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
300003,NH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average
300005,NH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average
300011,NH,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
300012,NH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
300014,NH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
300017,NH,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
300018,NH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
300019,NH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Above the national average
300020,NH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
300023,NH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
300029,NH,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average
300034,NH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
301300,NH,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
301301,NH,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Not Available,Below the national average,Same as the national average,Not Available,Same as the national average,Not Available
301302,NH,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
301303,NH,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Same as the national average,Same as the national average
301304,NH,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Above the national average,Same as the national average
301305,NH,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Not Available,Not Available,Same as the national average
301306,NH,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
301307,NH,Critical Access Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Not Available,Below the national average,Same as the national average,Not Available,Same as the national average,Same as the national average
301308,NH,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Below the national average,Not Available
301309,NH,Critical Access Hospitals,Proprietary,Yes,3,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Same as the national average,Same as the national average
301310,NH,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
301311,NH,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
301312,NH,Critical Access Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Not Available,Below the national average,Same as the national average
304000,NH,Psychiatric,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
304001,NH,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
310001,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Above the national average
310002,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
310003,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
310005,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
310006,NJ,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
310008,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
310009,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
310010,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average
310011,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
310012,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
310014,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Above the national average,Below the national average,Above the national average
310015,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
310016,NJ,Acute Care Hospitals,Voluntary non-profit - Church,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
310017,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
310019,NJ,Acute Care Hospitals,Voluntary non-profit - Church,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average
310021,NJ,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Not Available
310022,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
310024,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
310025,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
310027,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average
310028,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
310029,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
310031,NJ,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Above the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Not Available,Not Available
310032,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
310034,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
310038,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
310039,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
310040,NJ,Acute Care Hospitals,Voluntary non-profit - Church,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
310041,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
310044,NJ,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
310045,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
310047,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
310048,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average
310050,NJ,Acute Care Hospitals,Proprietary,Yes,5,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
310051,NJ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
310052,NJ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
310054,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
310057,NJ,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
310058,NJ,Acute Care Hospitals,Government - Local,Yes,3,Same as the national average,Above the national average,Below the national average,Not Available,Same as the national average,Below the national average,Not Available
310060,NJ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
310061,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
310064,NJ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
310069,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
310070,NJ,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Not Available
310073,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
310074,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average
310075,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average
310076,NJ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
310081,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Above the national average
310083,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Above the national average,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,Not Available
310084,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
310086,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
310091,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Not Available,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
310092,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
310096,NJ,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
310108,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
310110,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
310111,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
310112,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
310113,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
310115,NJ,Acute Care Hospitals,Voluntary non-profit - Church,Yes,1,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
310118,NJ,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Not Available,Below the national average,Below the national average,Same as the national average,Below the national average,Not Available
310119,NJ,Acute Care Hospitals,Government - State,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Not Available
310130,NJ,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
313300,NJ,Childrens,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
313302,NJ,Childrens,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
314001,NJ,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
314005,NJ,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
314011,NJ,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
314012,NJ,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
314013,NJ,Psychiatric,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
314016,NJ,Psychiatric,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
314018,NJ,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
314019,NJ,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
314020,NJ,Psychiatric,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
314021,NJ,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
314022,NJ,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
314023,NJ,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
314024,NJ,Psychiatric,Government - Local,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
314027,NJ,Psychiatric,Voluntary non-profit - Other,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
320001,NM,Acute Care Hospitals,Voluntary non-profit - Other,Yes,1,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
320002,NM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
320003,NM,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
320004,NM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
320005,NM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Above the national average
320006,NM,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average
320009,NM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
320011,NM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
320016,NM,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
320017,NM,Acute Care Hospitals,Government - State,Yes,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
320018,NM,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average
320021,NM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
320022,NM,Acute Care Hospitals,Government - Federal,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
320030,NM,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
320033,NM,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average,Above the national average,Not Available
320038,NM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Not Available,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
320057,NM,Acute Care Hospitals,Government - Federal,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
320058,NM,Acute Care Hospitals,Government - Federal,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
320059,NM,Acute Care Hospitals,Government - Federal,Yes,2,Not Available,Not Available,Below the national average,Below the national average,Same as the national average,Not Available,Not Available
320060,NM,Acute Care Hospitals,Government - Federal,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Below the national average,Not Available,Not Available
320061,NM,Acute Care Hospitals,Government - Federal,Yes,2,Not Available,Not Available,Below the national average,Below the national average,Same as the national average,Not Available,Not Available
320062,NM,Acute Care Hospitals,Government - Federal,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
320063,NM,Acute Care Hospitals,Proprietary,No,2,Same as the national average,Not Available,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
320065,NM,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
320067,NM,Acute Care Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available
320070,NM,Acute Care Hospitals,Government - Federal,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
320074,NM,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Not Available
320084,NM,Acute Care Hospitals,Government - State,Yes,3,Same as the national average,Not Available,Below the national average,Not Available,Below the national average,Same as the national average,Not Available
320085,NM,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
320086,NM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
320089,NM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
320090,NM,Acute Care Hospitals,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
321300,NM,Critical Access Hospitals,Government - Local,Yes,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
321301,NM,Critical Access Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
321302,NM,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average
321304,NM,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
321305,NM,Critical Access Hospitals,Government - Hospital District or Authority,Yes,5,Same as the national average,Not Available,Above the national average,Above the national average,Not Available,Same as the national average,Below the national average
321306,NM,Critical Access Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Not Available,Above the national average,Same as the national average,Not Available,Above the national average,Not Available
321307,NM,Critical Access Hospitals,Government - State,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Not Available
321308,NM,Critical Access Hospitals,Government - Local,Yes,4,Not Available,Not Available,Above the national average,Same as the national average,Not Available,Same as the national average,Not Available
321309,NM,Critical Access Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Not Available
321310,NM,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
324010,NM,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
324012,NM,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
324013,NM,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
324014,NM,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
330003,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Not Available,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
330004,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
330005,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
330006,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
330008,NY,Acute Care Hospitals,Government - Local,Yes,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
330009,NY,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
330011,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
330013,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average
330014,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average
330019,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
