,Facility_ID,State,Hospital_Type,Hospital_Ownership,Emergency_Services,Hospital_overall_rating,Mortality_national_comparison,Safety_of_care_national_comparison,Readmission_national_comparison,Patient_experience,Effectiveness_of_care_national_comparison,Timeliness_of_care_national_comparison,Efficient_use_of_medical_imaging_national_comparison,Rate_of_readmission_after_discharge,Denominator,Readmission_after_discharge_Score,Lower_Estimate,Higher_Estimate,Care_transition,Cleanliness,Communication_about_medicines,Discharge_information,Doctor_communication,Nurse_communication,Quietness,Staff_responsiveness
2552,250025,MS,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,525,15.5,13.9,17.1,4,2,3,3,4,3,4,3
2554,250031,MS,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1466,15.7,14.6,16.8,2,2,2,2,3,3,4,2
2555,250034,MS,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,3240,14.8,13.9,15.7,4,2,3,4,4,4,5,3
2558,250040,MS,Acute Care Hospitals,Government - Local,Yes,2,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Worse Than the National Rate,3938,16.9,15.7,17.7,3,3,3,3,3,4,4,3
2562,250048,MS,Acute Care Hospitals,Voluntary non-profit - Church,Yes,1,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,No Different Than the National Rate,7123,16.1,15.4,16.9,3,2,3,3,3,4,5,3
2564,250050,MS,Acute Care Hospitals,Government - Local,Yes,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,434,14.8,13.3,16.5,2,3,2,3,3,3,4,2
2565,250057,MS,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,708,16.3,14.9,17.9,5,4,4,5,5,5,5,5
2566,250058,MS,Acute Care Hospitals,Government - Local,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,2120,16.7,15.6,17.7,3,2,3,2,3,3,4,3
2570,250069,MS,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,1643,15.1,14,16.4,2,1,2,2,3,2,4,3
2571,250072,MS,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,941,17,15.5,18.3,1,1,2,1,1,2,4,1
2573,250078,MS,Acute Care Hospitals,Government - Local,Yes,1,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Worse Than the National Rate,6488,17,15.9,17.7,3,2,3,3,3,4,5,3
2575,250082,MS,Acute Care Hospitals,Government - Local,Yes,1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1315,17,15.6,18.3,2,2,2,2,4,2,4,2
2576,250084,MS,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,1055,16.6,15.3,18,2,3,3,3,4,3,5,2
2578,250093,MS,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,918,16.9,15.4,18.4,2,2,3,1,5,4,4,3
2579,250094,MS,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1590,16.2,15,17.4,3,2,3,3,3,4,5,3
2582,250097,MS,Acute Care Hospitals,Government - Local,Yes,1,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1221,16.5,15.2,17.7,1,1,1,2,2,2,3,2
2583,250099,MS,Acute Care Hospitals,Government - Local,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,1381,16.2,15,17.3,3,2,3,2,3,2,3,2
2584,250100,MS,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Below the national average,Worse Than the National Rate,2381,17,15.7,18.1,4,3,3,3,4,4,5,4
2585,250102,MS,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,No Different Than the National Rate,6726,15.2,14.5,15.9,3,1,3,3,4,4,5,3
2586,250104,MS,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,3162,15.5,14.7,16.5,3,2,4,3,4,4,4,4
2588,250123,MS,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,538,15.9,14.4,17.5,3,3,4,2,2,3,5,4
2594,250138,MS,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,884,15.1,13.3,16.9,3,1,2,3,4,3,4,3
2595,250141,MS,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Worse Than the National Rate,4603,17.1,15.9,17.9,2,1,2,2,2,2,4,1
2601,250168,MS,Acute Care Hospitals,Government - State,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,443,14.7,13.3,16.2,4,3,3,3,3,3,5,3
2640,260001,MO,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Worse Than the National Rate,2944,17.2,15.9,18.1,4,2,2,3,3,3,3,3
2642,260005,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1924,16,15,17.1,3,2,2,3,3,3,3,2
2643,260006,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,No Different Than the National Rate,4895,16.1,15.3,16.9,3,3,3,3,3,4,3,2
2644,260009,MO,Acute Care Hospitals,Government - Local,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1297,15.2,14.1,16.5,3,3,3,3,2,3,3,4
2645,260011,MO,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1673,14.9,13.8,16.1,4,4,2,3,3,4,4,3
2646,260017,MO,Acute Care Hospitals,Government - Local,Yes,3,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,1593,16,14.9,17,3,2,3,4,2,3,2,3
2647,260020,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,6128,15.1,14.3,15.8,4,1,3,3,3,4,4,2
2648,260022,MO,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,707,15.3,14,16.7,2,3,3,3,3,4,3,4
2649,260023,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1865,15.4,14.3,16.4,4,4,3,4,3,4,4,3
2651,260025,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Worse Than the National Rate,1612,17.2,15.7,18.4,3,3,3,3,2,4,3,3
2652,260027,MO,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Above the national average,Above the national average,Above the national average,No Different Than the National Rate,2446,16.6,15.5,17.6,3,2,3,3,2,3,3,2
2653,260032,MO,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Above the national average,Below the national average,Below the national average,Above the national average,Below the national average,Below the national average,Above the national average,Worse Than the National Rate,9094,17.4,16,18,4,2,4,4,3,4,3,3
2655,260040,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,5484,16.3,15.4,17.1,3,2,2,3,2,3,3,3
2656,260047,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1666,15.9,14.8,17.1,4,3,3,4,3,4,3,4
2657,260048,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,No Different Than the National Rate,443,15.8,14.4,17.2,2,1,2,3,2,2,2,3
2658,260050,MO,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,187,14.9,13.2,16.8,4,4,3,3,3,3,4,3
2659,260052,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1336,15.3,14.2,16.5,4,2,3,4,3,3,3,3
2660,260057,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,528,17.4,15.6,19,2,2,2,3,2,2,2,2
2661,260059,MO,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,472,15.6,14.1,17.2,2,3,2,4,2,2,2,3
2663,260062,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1519,14.9,13.7,16,3,3,3,3,4,4,4,3
2664,260064,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,408,14.9,13.3,16.5,3,4,3,4,2,3,2,3
2665,260065,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average,No Different Than the National Rate,6996,15,14.3,15.7,4,2,3,3,2,3,2,3
2666,260068,MO,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Better Than the National Rate,4727,14.2,13.4,15.4,4,2,3,4,4,4,3,4
2669,260077,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,5809,16.4,15.6,17.1,3,1,2,3,2,3,3,3
2670,260078,MO,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1338,14.7,13.7,15.9,3,3,3,4,4,4,3,4
2671,260081,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,2184,16,15,17,4,2,2,3,3,4,5,3
2672,260085,MO,Acute Care Hospitals,Proprietary,Yes,5,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1875,15.1,14.1,16.2,2,3,2,3,2,2,2,2
2673,260091,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1803,14.9,13.9,16,3,2,2,3,3,4,3,2
2674,260094,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1585,15.5,14.5,16.6,3,3,3,4,3,4,3,4
2675,260095,MO,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Worse Than the National Rate,3024,16.9,15.8,17.9,3,3,3,3,2,4,3,3
2676,260096,MO,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,5073,15.1,14.3,15.9,4,3,3,4,3,4,4,3
2677,260097,MO,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,577,16.2,14.7,17.8,3,4,3,3,4,4,3,3
2679,260104,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,3365,16,15.1,16.9,2,1,2,3,3,3,3,2
2680,260105,MO,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1900,16.3,15.2,17.3,2,2,3,2,2,2,1,2
2681,260108,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,5972,15.6,15,16.3,4,2,3,4,3,4,2,3
2682,260110,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,2721,16.4,15.3,17.3,3,3,3,4,3,4,4,3
2683,260113,MO,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,929,15.5,14.2,16.7,3,4,2,2,3,2,3,4
2684,260119,MO,Acute Care Hospitals,Proprietary,Yes,1,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Worse Than the National Rate,2027,17.5,15.9,18.6,2,2,2,2,2,2,3,2
2685,260137,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,No Different Than the National Rate,4132,15.6,14.8,16.5,3,2,2,2,3,3,2,2
2686,260138,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,4961,15.3,14.6,16,4,4,4,4,3,4,4,4
2687,260141,MO,Acute Care Hospitals,Government - State,Yes,2,Below the national average,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,No Different Than the National Rate,3940,16,15.1,16.8,4,3,4,3,2,4,4,4
2688,260142,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,399,14.9,13.3,16.6,3,1,4,4,3,3,3,4
2691,260163,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,No Different Than the National Rate,896,16.9,15.5,18.5,3,3,2,3,3,2,2,3
2692,260175,MO,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,622,15.7,14.3,17.1,4,4,4,3,3,4,3,4
2694,260177,MO,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,2104,16.3,15.2,17.4,3,3,3,4,3,3,3,3
2695,260179,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,5479,14.7,14,15.6,4,3,3,4,4,4,3,3
2696,260180,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,2446,16.1,15.2,16.9,3,2,3,3,3,3,4,3
2697,260183,MO,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Below the national average,Above the national average,Above the national average,Above the national average,Above the national average,Above the national average,Below the national average,Better Than the National Rate,3413,13.7,12.9,15.2,4,3,3,3,4,4,4,2
2698,260186,MO,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,No Different Than the National Rate,1531,15.3,14.2,16.5,3,2,2,3,3,3,3,3
2699,260190,MO,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1150,15.9,14.6,17.1,4,4,3,4,2,4,4,4
2700,260191,MO,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,No Different Than the National Rate,1546,16.1,15,17.3,4,1,3,4,3,4,3,3
2701,260193,MO,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1354,17,15.6,18.1,3,4,3,4,3,3,3,4
2702,260195,MO,Acute Care Hospitals,Government - Hospital District or Authority,No,2,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,657,14.4,13.1,15.9,3,4,2,3,4,4,3,3
2703,260200,MO,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,2237,15.1,14.2,16.1,4,2,3,3,3,3,4,2
2706,260214,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,947,15.8,14.4,17.2,3,3,3,3,2,3,3,3
2707,260216,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,3698,15.1,14.3,16,4,3,3,4,4,4,4,3
2708,260219,MO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,664,16,14.6,17.4,4,2,3,4,3,4,4,3
2761,270003,MT,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1715,15.3,14.2,16.5,3,2,3,3,4,4,3,4
2762,270004,MT,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,4383,15.4,14.6,16.3,3,2,3,3,3,3,3,3
2763,270012,MT,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Better Than the National Rate,2540,13.6,12.7,15.2,2,2,3,3,2,3,3,3
2764,270014,MT,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,3648,14.7,13.8,15.8,4,3,4,4,4,4,3,4
2765,270017,MT,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1128,14.3,13.1,15.8,2,3,4,3,3,4,3,4
2766,270023,MT,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,968,15.8,14.3,17.3,3,2,3,4,4,3,3,3
2767,270032,MT,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Below the national average,No Different Than the National Rate,311,14.9,13.4,16.5,2,2,3,2,3,4,3,4
2768,270049,MT,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,3616,15,14.1,15.9,4,3,3,4,4,4,3,4
2769,270051,MT,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,2188,14.5,13.5,15.7,3,2,3,4,4,4,3,4
2770,270057,MT,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1636,14.3,13.2,15.6,3,3,3,4,4,4,3,4
2772,270086,MT,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,485,13.8,12.2,15.7,4,3,3,5,3,4,4,4
2825,280003,NE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Better Than the National Rate,8852,14.6,14,15.4,4,3,3,4,3,4,4,4
2826,280009,NE,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1978,15,13.9,16.2,3,3,3,4,3,4,4,3
2827,280013,NE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,No Different Than the National Rate,5923,16.2,15.5,17,4,3,3,3,3,4,4,3
2828,280020,NE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1934,14.3,13.3,15.6,2,2,2,4,3,3,3,2
2829,280023,NE,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Below the national average,No Different Than the National Rate,1880,14.4,13.3,15.6,2,3,3,3,3,3,4,3
2830,280032,NE,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1331,14.3,13.2,15.7,4,4,4,4,3,4,4,3
2831,280040,NE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Better Than the National Rate,5042,14.5,13.7,15.5,5,2,4,4,4,4,3,4
2832,280060,NE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,3171,15,14.1,15.9,2,1,2,3,2,3,2,1
2833,280061,NE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1533,14.8,13.7,16,2,1,2,3,2,2,2,2
2834,280065,NE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1975,16,15,17.1,3,4,3,3,3,3,4,4
2835,280077,NE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,No Different Than the National Rate,884,14.3,13.1,15.7,2,3,4,4,2,3,3,3
2836,280081,NE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1155,15.7,14.5,16.8,3,3,3,3,3,3,3,2
2837,280105,NE,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,232,14.4,12.7,16.2,4,4,4,4,5,5,5,4
2838,280111,NE,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,637,14.2,12.7,15.9,4,4,4,5,4,4,4,4
2839,280125,NE,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1558,15.2,14,16.3,3,3,3,3,3,4,4,4
2843,280130,NE,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Better Than the National Rate,1652,13.8,12.8,15.3,3,2,3,3,4,4,4,3
2845,280132,NE,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1570,15.9,14.8,17,4,4,4,3,4,4,5,4
2847,280134,NE,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Below the national average,No Different Than the National Rate,1607,16.6,15.4,17.8,4,3,3,4,3,3,4,3
2916,290001,NV,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Better Than the National Rate,6307,14.6,14,15.5,3,3,2,3,2,3,1,2
